,Unnamed: 0,id,subject_class_x,subject_id,object_class,object_id,context_class_x,context_id,created_at,description,action_template_id,value,is_hidden,ext_data,created_at_year,created_at_quarter,created_at_month,created_at_date,created_at_weekday,created_at_hour,subject_class_y,context_class_y,Категория,action_category,action
45,101486,566519,Comment,59020.0,User,118.0,Event,42632.0,1610265707,"Retunskiy, Maksim создал новый комментарий ""Поздравил Ковальчука и Еременко с НГ.  Клиент сказал что в 2021 будут брать еще 4 или 8 комбайнов. ПОЭТОМУ нужно привезти летом на демо показ комбайн CR 9.90."" в задаче - .",87.0,,False,,2021,1,1,2021-01-10,7,11,Comment,Event,Календарь,calendar,создал новый комментарий в событии календаря
49,101516,566489,Event,42629.0,User,118.0,Event,42629.0,1610264932,"Создана новая задача - Встреча с клиентом. Ответственный: Retunskiy, Maksim. Автор: Retunskiy, Maksim. Клиент: <rb-link object=""Company"" text=""ОАО Рудничное&quot;, (КолоСС ООО)"" params=""{&quot;id&quot;:9}""></rb-link>. Завершить не позднее: 23.12.2020.",24.0,,False,,2021,1,1,2021-01-10,7,10,Event,Event,Календарь,calendar,Создано новое событие календаря
54,101558,566447,Event,42624.0,User,118.0,Event,42624.0,1610264044,"Создана новая задача - Встреча с клиентом (Тарасевич). Ответственный: Retunskiy, Maksim. Автор: Retunskiy, Maksim. Завершить не позднее: 21.12.2020.",24.0,,False,,2021,1,1,2021-01-10,7,10,Event,Event,Календарь,calendar,Создано новое событие календаря
55,101542,566463,Event,42626.0,User,118.0,Event,42626.0,1610264444,"Создана новая задача - Встреча с клиентом. Ответственный: Retunskiy, Maksim. Автор: Retunskiy, Maksim. Клиент: <rb-link object=""Company"" text=""АО РаненбургКомплекс"" params=""{&quot;id&quot;:68}""></rb-link>. Завершить не позднее: 22.12.2020.",24.0,,False,,2021,1,1,2021-01-10,7,10,Event,Event,Календарь,calendar,Создано новое событие календаря
57,101545,566460,Event,42625.0,User,118.0,Event,42625.0,1610264356,"Задача завершена - Встреча с клиентом. Ответственный: Retunskiy, Maksim. Автор: Retunskiy, Maksim. Клиент: <rb-link object=""Company"" text=""ООО Раненбургъ"" params=""{&quot;id&quot;:78}""></rb-link>. Завершить не позднее: 22.12.2020.",50.0,,False,,2021,1,1,2021-01-10,7,10,Event,Event,Календарь,calendar,Завершено событие календаря
58,101556,566449,Comment,59012.0,User,118.0,Event,42624.0,1610264150,"Retunskiy, Maksim создал новый комментарий ""Клиент сказал будут покупать трактор НХ 7060 с ПНУ ПВОМ. Делать договор."" в задаче - .",87.0,,False,,2021,1,1,2021-01-10,7,10,Comment,Event,Календарь,calendar,создал новый комментарий в событии календаря
59,101546,566459,Comment,59013.0,User,118.0,Event,42625.0,1610264356,"Retunskiy, Maksim создал новый комментарий ""Поздравил клиента с НГ, клиент сказал скорее всего будут покупать еще ТМ 255"" в задаче - .",87.0,,False,,2021,1,1,2021-01-10,7,10,Comment,Event,Календарь,calendar,создал новый комментарий в событии календаря
61,101550,566455,Event,42625.0,User,118.0,Event,42625.0,1610264286,"Создана новая задача - Встреча с клиентом. Ответственный: Retunskiy, Maksim. Автор: Retunskiy, Maksim. Клиент: <rb-link object=""Company"" text=""ООО Раненбургъ"" params=""{&quot;id&quot;:78}""></rb-link>. Завершить не позднее: 22.12.2020.",24.0,,False,,2021,1,1,2021-01-10,7,10,Event,Event,Календарь,calendar,Создано новое событие календаря
65,101555,566450,Event,42624.0,User,118.0,Event,42624.0,1610264150,"Задача завершена - Встреча с клиентом (Тарасевич). Ответственный: Retunskiy, Maksim. Автор: Retunskiy, Maksim. Клиент: <rb-link object=""Company"" text=""ОАО Рудничное&quot;, (КолоСС ООО)"" params=""{&quot;id&quot;:9}""></rb-link>. Завершить не позднее: 21.12.2020.",50.0,,False,,2021,1,1,2021-01-10,7,10,Event,Event,Календарь,calendar,Завершено событие календаря
67,101538,566467,Comment,59014.0,User,118.0,Event,42626.0,1610264485,"Retunskiy, Maksim создал новый комментарий ""Поздравил клиента с наступающим НГ."" в задаче - .",87.0,,False,,2021,1,1,2021-01-10,7,10,Comment,Event,Календарь,calendar,создал новый комментарий в событии календаря
69,101537,566468,Event,42626.0,User,118.0,Event,42626.0,1610264485,"Задача завершена - Встреча с клиентом. Ответственный: Retunskiy, Maksim. Автор: Retunskiy, Maksim. Клиент: <rb-link object=""Company"" text=""АО РаненбургКомплекс"" params=""{&quot;id&quot;:68}""></rb-link>. Завершить не позднее: 22.12.2020.",50.0,,False,,2021,1,1,2021-01-10,7,10,Event,Event,Календарь,calendar,Завершено событие календаря
70,101520,566485,Event,42628.0,User,118.0,Event,42628.0,1610264860,"Задача завершена - Встреча с клиентом. Ответственный: Retunskiy, Maksim. Автор: Retunskiy, Maksim. Клиент: <rb-link object=""Company"" text=""ООО &quot;Соколье Агро&quot;"" params=""{&quot;id&quot;:4801}""></rb-link>. Завершить не позднее: 23.12.2020.",50.0,,False,,2021,1,1,2021-01-10,7,10,Event,Event,Календарь,calendar,Завершено событие календаря
71,101521,566484,Comment,59016.0,User,118.0,Event,42628.0,1610264859,"Retunskiy, Maksim создал новый комментарий ""Поздравил клиента с НГ, клиент сказал документы для лизинга сделают в пятницу-понедельник."" в задаче - .",87.0,,False,,2021,1,1,2021-01-10,7,10,Comment,Event,Календарь,calendar,создал новый комментарий в событии календаря
75,101526,566479,Event,42628.0,User,118.0,Event,42628.0,1610264709,"Создана новая задача - Встреча с клиентом. Ответственный: Retunskiy, Maksim. Автор: Retunskiy, Maksim. Клиент: <rb-link object=""Company"" text=""ООО &quot;Соколье Агро&quot;"" params=""{&quot;id&quot;:4801}""></rb-link>. Завершить не позднее: 23.12.2020.",24.0,,False,,2021,1,1,2021-01-10,7,10,Event,Event,Календарь,calendar,Создано новое событие календаря
76,101529,566476,Event,42627.0,User,118.0,Event,42627.0,1610264627,"Задача завершена - Встреча с клиентом. Ответственный: Retunskiy, Maksim. Автор: Retunskiy, Maksim. Клиент: <rb-link object=""Company"" text=""ООО Лебедянское"" params=""{&quot;id&quot;:65}""></rb-link>. Завершить не позднее: 22.12.2020.",50.0,,False,,2021,1,1,2021-01-10,7,10,Event,Event,Календарь,calendar,Завершено событие календаря
80,101534,566471,Event,42627.0,User,118.0,Event,42627.0,1610264559,"Создана новая задача - Встреча с клиентом. Ответственный: Retunskiy, Maksim. Автор: Retunskiy, Maksim. Клиент: <rb-link object=""Company"" text=""ООО Лебедянское"" params=""{&quot;id&quot;:65}""></rb-link>. Завершить не позднее: 22.12.2020.",24.0,,False,,2021,1,1,2021-01-10,7,10,Event,Event,Календарь,calendar,Создано новое событие календаря
82,101530,566475,Comment,59015.0,User,118.0,Event,42627.0,1610264627,"Retunskiy, Maksim создал новый комментарий ""Поздравил клиента с НГ"" в задаче - .",87.0,,False,,2021,1,1,2021-01-10,7,10,Comment,Event,Календарь,calendar,создал новый комментарий в событии календаря
84,100770,567235,Event,42697.0,User,127.0,Event,42697.0,1610370469,"Создана новая задача - Плановый визит. Ответственный: Annenkov, Aleksey. Автор: Annenkov, Aleksey. Клиент: <rb-link object=""Company"" text=""ИП Глава КФХ Борисов Владимир Александрович"" params=""{&quot;id&quot;:5005}""></rb-link>. Завершить не позднее: 12.11.2020.",24.0,,False,,2021,1,1,2021-01-11,1,16,Event,Event,Календарь,calendar,Создано новое событие календаря
85,100765,567240,Event,42697.0,User,127.0,Event,42697.0,1610370614,"Задача завершена - Плановый визит. Ответственный: Annenkov, Aleksey. Автор: Annenkov, Aleksey. Клиент: <rb-link object=""Company"" text=""ИП Глава КФХ Борисов Владимир Александрович"" params=""{&quot;id&quot;:5005}""></rb-link>. Завершить не позднее: 12.11.2020.",50.0,,False,,2021,1,1,2021-01-11,1,16,Event,Event,Календарь,calendar,Завершено событие календаря
86,100766,567239,Comment,59081.0,User,127.0,Event,42697.0,1610370613,"Annenkov, Aleksey создал новый комментарий ""12.11.2020 Пока не решен вопрос с землей(Русагро пытается выкупить часть используемой арендуемой земли). Пока его не закроет к переговорам возвращаться не готов."" в задаче - .",87.0,,False,,2021,1,1,2021-01-11,1,16,Comment,Event,Календарь,calendar,создал новый комментарий в событии календаря
89,101355,566650,DealActualStagePoint,160930.0,User,140.0,Deal,4313.0,1610346172,"Ababilov, Aleksandr, Менеджер по продажам техники, выбрал пункт чек-листа 4. Согласование с клиентом финансовой схемы и сроков оплаты в сделке №4313 - <rb-link object=""Deal"" text=""4313.Сделка с клиентом ООО &quot;Прогресс&quot; (Сасовский р-н) (NH CX8.80)"" params=""{&quot;id&quot;:4313,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17.0,,False,,2021,1,1,2021-01-11,1,9,DealActualStagePoint,Deal,Сделка,deal,выбрал пункт чек-листа
90,100761,567244,DealActualStagePoint,152826.0,User,156.0,Deal,4133.0,1610370619,"Kupriyanov, Vasiliy, Менеджер по продажам оборудования навигации и точного земледелия, выбрал пункт чек-листа 3. Получение оригиналов АПП с подписью и печатью клиента в сделке №4133 - <rb-link object=""Deal"" text=""4133.Сделка с клиентом ООО Родина (Наровчатский р-н)"" params=""{&quot;id&quot;:4133,&quot;type&quot;:&quot;training&quot;}""></rb-link>.",17.0,,False,,2021,1,1,2021-01-11,1,16,DealActualStagePoint,Deal,Сделка,deal,выбрал пункт чек-листа
91,100762,567243,DealActualStagePoint,152825.0,User,156.0,Deal,4133.0,1610370616,"Kupriyanov, Vasiliy, Менеджер по продажам оборудования навигации и точного земледелия, выбрал пункт чек-листа 2. Проверка наличия оригиналов договора (в УК в Химках или Липецке) в сделке №4133 - <rb-link object=""Deal"" text=""4133.Сделка с клиентом ООО Родина (Наровчатский р-н)"" params=""{&quot;id&quot;:4133,&quot;type&quot;:&quot;training&quot;}""></rb-link>.",17.0,,False,,2021,1,1,2021-01-11,1,16,DealActualStagePoint,Deal,Сделка,deal,выбрал пункт чек-листа
92,100760,567245,DealActualStagePoint,152827.0,User,156.0,Deal,4133.0,1610370620,"Kupriyanov, Vasiliy, Менеджер по продажам оборудования навигации и точного земледелия, выбрал пункт чек-листа 4. Получение оригиналов УПД с подписью и печатью клиента в сделке №4133 - <rb-link object=""Deal"" text=""4133.Сделка с клиентом ООО Родина (Наровчатский р-н)"" params=""{&quot;id&quot;:4133,&quot;type&quot;:&quot;training&quot;}""></rb-link>.",17.0,,False,,2021,1,1,2021-01-11,1,16,DealActualStagePoint,Deal,Сделка,deal,выбрал пункт чек-листа
93,100759,567246,DealActualStagePoint,152828.0,User,156.0,Deal,4133.0,1610370621,"Kupriyanov, Vasiliy, Менеджер по продажам оборудования навигации и точного земледелия, выбрал пункт чек-листа 5. Получение оплаты/постоплаты по сделке в сделке №4133 - <rb-link object=""Deal"" text=""4133.Сделка с клиентом ООО Родина (Наровчатский р-н)"" params=""{&quot;id&quot;:4133,&quot;type&quot;:&quot;training&quot;}""></rb-link>.",17.0,,False,,2021,1,1,2021-01-11,1,16,DealActualStagePoint,Deal,Сделка,deal,выбрал пункт чек-листа
94,100758,567247,DealActualStagePoint,152829.0,User,156.0,Deal,4133.0,1610370622,"Kupriyanov, Vasiliy, Менеджер по продажам оборудования навигации и точного земледелия, выбрал пункт чек-листа 6. Проведение реализации (указать номер документа по АА в Коммуникации, загрузить соотв. документ) в сделке №4133 - <rb-link object=""Deal"" text=""4133.Сделка с клиентом ООО Родина (Наровчатский р-н)"" params=""{&quot;id&quot;:4133,&quot;type&quot;:&quot;training&quot;}""></rb-link>.",17.0,,False,,2021,1,1,2021-01-11,1,16,DealActualStagePoint,Deal,Сделка,deal,выбрал пункт чек-листа
95,100757,567248,Deal,3888.0,User,68.0,Deal,3888.0,1610370651,"Dolmatov, Evgeny, Менеджер по продажам техники, изменил значение в поле ""Дата контрактации"" в сделке №3888 - <rb-link object=""Deal"" text=""3888.Сделка с клиентом ООО Пиковская земля"" params=""{&quot;id&quot;:3888,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>. Новое значение: 31.03.2021.",85.0,,False,,2021,1,1,2021-01-11,1,16,Deal,Deal,Сделка,deal,"изменил значение в поле ""Дата контрактации"""
99,101354,566651,DealActualStagePoint,160931.0,User,140.0,Deal,4313.0,1610346176,"Ababilov, Aleksandr, Менеджер по продажам техники, выбрал пункт чек-листа 5. Утверждение с клиентом точных сроков поставки и реализации в сделке №4313 - <rb-link object=""Deal"" text=""4313.Сделка с клиентом ООО &quot;Прогресс&quot; (Сасовский р-н) (NH CX8.80)"" params=""{&quot;id&quot;:4313,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17.0,,False,,2021,1,1,2021-01-11,1,9,DealActualStagePoint,Deal,Сделка,deal,выбрал пункт чек-листа
100,101305,566700,Event,42158.0,User,156.0,Event,42158.0,1610347188,"Задача завершена - АФ Рассвет.. Ответственный: Kupriyanov, Vasiliy. Автор: Kupriyanov, Vasiliy. Клиент: <rb-link object=""Company"" text=""ООО Агрофирма Рассвет"" params=""{&quot;id&quot;:1491}""></rb-link>. Завершить не позднее: 22.12.2020.",50.0,,False,,2021,1,1,2021-01-11,1,9,Event,Event,Календарь,calendar,Завершено событие календаря
101,100775,567230,Comment,59080.0,User,127.0,Event,42696.0,1610370428,"Annenkov, Aleksey создал новый комментарий ""12.11.2020 Есть предварительная инфор мация о том, что планируется приобретение 5ти тракторов 150 л.с. Пока не точная, кроме того отсутствует даже конкурсная документация и тех.задание. Более конкретная информация должна появиться в конце декабря-начале января."" в задаче - .",87.0,,False,,2021,1,1,2021-01-11,1,16,Comment,Event,Календарь,calendar,создал новый комментарий в событии календаря
102,100793,567212,Deal,4573.0,User,127.0,Deal,4573.0,1610370197,"Annenkov, Aleksey создал новую сделку №4573 - <rb-link object=""Deal"" text=""4573.Сделка с клиентом ООО &quot;Тамбовагрофуд&quot;"" params=""{&quot;id&quot;:4573,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>. Клиент: <rb-link object=""Company"" text=""ООО &quot;Тамбовагрофуд&quot;"" params=""{&quot;id&quot;:4934}""></rb-link>.",9.0,,False,,2021,1,1,2021-01-11,1,16,Deal,Deal,Сделка,deal,создал новую сделку
103,100755,567250,Deal,4574.0,User,127.0,Deal,4574.0,1610370651,"Annenkov, Aleksey создал новую сделку №4574 - <rb-link object=""Deal"" text=""4574.Сделка с клиентом ИП Глава КФХ Борисов Владимир Александрович"" params=""{&quot;id&quot;:4574,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>. Клиент: <rb-link object=""Company"" text=""ИП Глава КФХ Борисов Владимир Александрович"" params=""{&quot;id&quot;:5005}""></rb-link>.",9.0,,False,,2021,1,1,2021-01-11,1,16,Deal,Deal,Сделка,deal,создал новую сделку
104,100792,567213,DealProduct,7136.0,User,127.0,Deal,4573.0,1610370226,"Annenkov, Aleksey добавил 5 ед. товара <rb-link object=""Product"" text=""Трактор New Holland T6090 RC BNH69H E 111 01"" params=""{&quot;id&quot;:629,&quot;type&quot;:&quot;product&quot;}""></rb-link> в сделку - <rb-link object=""Deal"" text=""4573.Сделка с клиентом ООО &quot;Тамбовагрофуд&quot;"" params=""{&quot;id&quot;:4573,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",19.0,,False,,2021,1,1,2021-01-11,1,16,DealProduct,Deal,Сделка,deal,добавил товар в сделку
105,100791,567214,Deal,4573.0,User,127.0,Deal,4573.0,1610370229,"Annenkov, Aleksey, Менеджер по продажам отдела техники, изменил значение в поле ""Дата контрактации"" в сделке №4573 - <rb-link object=""Deal"" text=""4573.Сделка с клиентом ООО &quot;Тамбовагрофуд&quot;"" params=""{&quot;id&quot;:4573,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>. Новое значение: 26.01.2021.",85.0,,False,,2021,1,1,2021-01-11,1,16,Deal,Deal,Сделка,deal,"изменил значение в поле ""Дата контрактации"""
106,100790,567215,DealActualStagePoint,172587.0,User,127.0,Deal,4573.0,1610370231,"Annenkov, Aleksey, Менеджер по продажам отдела техники, выбрал пункт чек-листа 1. Сбор информации о клиенте (площади, культуры, технологии, парк техники) и его ЮЛ (организация, форма собственности) в сделке №4573 - <rb-link object=""Deal"" text=""4573.Сделка с клиентом ООО &quot;Тамбовагрофуд&quot;"" params=""{&quot;id&quot;:4573,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17.0,,False,,2021,1,1,2021-01-11,1,16,DealActualStagePoint,Deal,Сделка,deal,выбрал пункт чек-листа
107,100789,567216,DealActualStagePoint,172588.0,User,127.0,Deal,4573.0,1610370232,"Annenkov, Aleksey, Менеджер по продажам отдела техники, выбрал пункт чек-листа 2. Внесение данных в карточку RB обновленных данных о контактных лицах (ЛПР, ЛВПР и прочих контактных лицах) в сделке №4573 - <rb-link object=""Deal"" text=""4573.Сделка с клиентом ООО &quot;Тамбовагрофуд&quot;"" params=""{&quot;id&quot;:4573,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17.0,,False,,2021,1,1,2021-01-11,1,16,DealActualStagePoint,Deal,Сделка,deal,выбрал пункт чек-листа
108,100788,567217,DealActualStagePoint,172589.0,User,127.0,Deal,4573.0,1610370233,"Annenkov, Aleksey, Менеджер по продажам отдела техники, выбрал пункт чек-листа 3. Сбор и внесение информации о конкурентах, с которыми работает клиент в сделке №4573 - <rb-link object=""Deal"" text=""4573.Сделка с клиентом ООО &quot;Тамбовагрофуд&quot;"" params=""{&quot;id&quot;:4573,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17.0,,False,,2021,1,1,2021-01-11,1,16,DealActualStagePoint,Deal,Сделка,deal,выбрал пункт чек-листа
109,100787,567218,DealActualStagePoint,172590.0,User,127.0,Deal,4573.0,1610370233,"Annenkov, Aleksey, Менеджер по продажам отдела техники, выбрал пункт чек-листа 4. Выявление конкретной потребности – внесение техники в карточку сделки в раздел «Номенклатура» в сделке №4573 - <rb-link object=""Deal"" text=""4573.Сделка с клиентом ООО &quot;Тамбовагрофуд&quot;"" params=""{&quot;id&quot;:4573,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17.0,,False,,2021,1,1,2021-01-11,1,16,DealActualStagePoint,Deal,Сделка,deal,выбрал пункт чек-листа
110,100774,567231,Event,42696.0,User,127.0,Event,42696.0,1610370428,"Задача завершена - Плановый визит. Ответственный: Annenkov, Aleksey. Автор: Annenkov, Aleksey. Клиент: <rb-link object=""Company"" text=""ООО &quot;Тамбовагрофуд&quot;"" params=""{&quot;id&quot;:4934}""></rb-link>. Завершить не позднее: 12.11.2020.",50.0,,False,,2021,1,1,2021-01-11,1,16,Event,Event,Календарь,calendar,Завершено событие календаря
111,100786,567219,DealActualStagePoint,172591.0,User,127.0,Deal,4573.0,1610370234,"Annenkov, Aleksey, Менеджер по продажам отдела техники, выбрал пункт чек-листа 5. Выявление детальной информации (занести ответы на вопросы пп 5.1-5.5 в раздел «Коммуникация») в сделке №4573 - <rb-link object=""Deal"" text=""4573.Сделка с клиентом ООО &quot;Тамбовагрофуд&quot;"" params=""{&quot;id&quot;:4573,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17.0,,False,,2021,1,1,2021-01-11,1,16,DealActualStagePoint,Deal,Сделка,deal,выбрал пункт чек-листа
112,100784,567221,DealActualStagePoint,172593.0,User,127.0,Deal,4573.0,1610370236,"Annenkov, Aleksey, Менеджер по продажам отдела техники, выбрал пункт чек-листа 5.2. Когда техника нужна в хозяйстве в сделке №4573 - <rb-link object=""Deal"" text=""4573.Сделка с клиентом ООО &quot;Тамбовагрофуд&quot;"" params=""{&quot;id&quot;:4573,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17.0,,False,,2021,1,1,2021-01-11,1,16,DealActualStagePoint,Deal,Сделка,deal,выбрал пункт чек-листа
113,100783,567222,DealActualStagePoint,172594.0,User,127.0,Deal,4573.0,1610370237,"Annenkov, Aleksey, Менеджер по продажам отдела техники, выбрал пункт чек-листа 5.3. Собственные возможности по приобретению (задаток, предоплата, открытие кредиты и лизинги) в сделке №4573 - <rb-link object=""Deal"" text=""4573.Сделка с клиентом ООО &quot;Тамбовагрофуд&quot;"" params=""{&quot;id&quot;:4573,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17.0,,False,,2021,1,1,2021-01-11,1,16,DealActualStagePoint,Deal,Сделка,deal,выбрал пункт чек-листа
114,100782,567223,DealActualStagePoint,172595.0,User,127.0,Deal,4573.0,1610370237,"Annenkov, Aleksey, Менеджер по продажам отдела техники, выбрал пункт чек-листа 5.4. Какие бренды/модели рассматривает клиент по данной потребности в сделке №4573 - <rb-link object=""Deal"" text=""4573.Сделка с клиентом ООО &quot;Тамбовагрофуд&quot;"" params=""{&quot;id&quot;:4573,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17.0,,False,,2021,1,1,2021-01-11,1,16,DealActualStagePoint,Deal,Сделка,deal,выбрал пункт чек-листа
115,100781,567224,DealActualStagePoint,172596.0,User,127.0,Deal,4573.0,1610370238,"Annenkov, Aleksey, Менеджер по продажам отдела техники, выбрал пункт чек-листа 5.5. Имеет ли клиент представление именно о нашей технике в рамках конкретной потребности в сделке №4573 - <rb-link object=""Deal"" text=""4573.Сделка с клиентом ООО &quot;Тамбовагрофуд&quot;"" params=""{&quot;id&quot;:4573,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17.0,,False,,2021,1,1,2021-01-11,1,16,DealActualStagePoint,Deal,Сделка,deal,выбрал пункт чек-листа
116,100780,567225,DealActualStagePoint,172597.0,User,127.0,Deal,4573.0,1610370244,"Annenkov, Aleksey, Менеджер по продажам отдела техники, выбрал пункт чек-листа 6. Клиент планирует контрактацию (не покупку!) в ближайшие 6 месяцев в сделке №4573 - <rb-link object=""Deal"" text=""4573.Сделка с клиентом ООО &quot;Тамбовагрофуд&quot;"" params=""{&quot;id&quot;:4573,&quot;type&quot;:&quot;equipment&quot;}""></rb-link>.",17.0,,False,,2021,1,1,2021-01-11,1,16,DealActualStagePoint,Deal,Сделка,deal,выбрал пункт чек-листа
